id,description
T0840,Network Connection Enumeration
T0842,Network Sniffing
T0846,Remote System Discovery
T0888,Remote System Information Discovery
T0887,Wireless Sniffing
TA0109,Lateral Movement
T0812,Default Credentials
T0866,Exploitation of Remote Services
T0891,Hardcoded Credentials
T0867,Lateral Tool Transfer
T0843,Program Download
T0886,Remote Services
T0859,Valid Accounts
TA0100,Collection
T0830,Adversary-in-the-Middle
T0802,Automated Collection
T0811,Data from Information Repositories
T0868,Detect Operating Mode
T0877,I/O Image
T0801,Monitor Process State
T0861,Point & Tag Identification
T0845,Program Upload
T0852,Screen Capture
T0887,Wireless Sniffing
TA0101,Command and Control
T0885,Commonly Used Port
T0884,Connection Proxy
T0869,Standard Application Layer Protocol
TA0107,Inhibit Response Function
T0800,Activate Firmware Update Mode
T0878,Alarm Suppression
T0803,Block Command Message
T0804,Block Reporting Message
T0805,Block Serial COM
T0809,Data Destruction
T0814,Denial of Service
T0816,Device Restart/Shutdown
T0835,Manipulate I/O Image
T0838,Modify Alarm Settings
T0851,Rootkit
T0881,Service Stop
T0857,System Firmware
TA0106,Impair Process Control
T0806,Brute Force I/O
T0836,Modify Parameter
T0839,Module Firmware
T0856,Spoof Reporting Message
T0855,Unauthorized Command Message
TA0105,Impact
T0879,Damage to Property
T0813,Denial of Control
T0815,Denial of View
T0826,Loss of Availability
T0827,Loss of Control
T0828,Loss of Productivity and Revenue
T0837,Loss of Protection
T0880,Loss of Safety
T0829,Loss of View
T0831,Manipulation of Control
T0832,Manipulation of View
T0882,Theft of Operational Information
